package_name,declared_requirement,version,dependency_type,parent_dependency,ecosystem
flask,Flask==2.2.5,2.2.5,direct,,PyPI
requests,requests==2.31.0,2.31.0,direct,,PyPI
pyyaml,PyYAML==6.0,6.0,direct,,PyPI
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI
gunicorn,gunicorn==21.2.0,21.2.0,direct,,PyPI
werkzeug,,2.2.3,transitive,flask,PyPI
click,,8.1.7,transitive,flask,PyPI
itsdangerous,,2.1.2,transitive,flask,PyPI
markupsafe,,2.1.3,transitive,jinja2,PyPI
urllib3,,1.26.18,transitive,requests,PyPI
certifi,,2024.2.2,transitive,requests,PyPI
charset-normalizer,,3.3.2,transitive,requests,PyPI
idna,,3.6,transitive,requests,PyPI
packaging,,24.0,transitive,gunicorn,PyPI
