package_name,declared_requirement,version,dependency_type,parent_dependency,ecosystem,cve_id,severity,cvss_score,epss,kev,fixed_version,published,imported_in_files,import_count,max_criticality,reachability_score,criticality_score,severity_score,exploitability_score,final_risk_score,risk_category
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-652x-xj99-gmcc,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-9wx4-h78v-vm56,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-9hjg-9r4m-mvj7,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,PYSEC-2018-28,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,PYSEC-2015-17,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,PYSEC-2014-14,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,PYSEC-2014-13,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-x84v-xcm2-53pg,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-pg2w-x9wp-vw92,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-j8r2-6x86-q33q,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,GHSA-cfj3-7x9c-4p3h,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
requests,requests==2.31.0,2.31.0,direct,,PyPI,PYSEC-2023-74,Medium,,,False,,,"['auth.py', 'payments.py']",2.0,5.0,6,10,5.0,3.0,56.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,GHSA-m2qf-hxjv-5gpq,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,PYSEC-2018-66,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,PYSEC-2019-179,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,GHSA-68rp-wp8r-4726,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,GHSA-4grg-w6v8-c28g,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,GHSA-562c-5r94-xh97,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,GHSA-5wv5-4vpf-pj6m,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
flask,Flask==2.2.5,2.2.5,direct,,PyPI,PYSEC-2023-62,Medium,,,False,,,['app.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,GHSA-3pqx-4fqf-j49f,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,GHSA-6757-jp84-gxfx,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,GHSA-8q59-q68h-6hv4,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,GHSA-rprw-h62v-c2w7,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,PYSEC-2018-49,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,PYSEC-2020-176,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,PYSEC-2020-195,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,PYSEC-2020-96,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
pyyaml,PyYAML==6.0,6.0,direct,,PyPI,PYSEC-2021-142,Medium,,,False,,,['auth.py'],1.0,5.0,4,10,5.0,3.0,51.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-462w-v97r-4m45,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-8r7q-cvjq-x353,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-cpwx-vrp4-4pq7,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
jinja2,Jinja2==3.1.2,3.1.2,direct,,PyPI,GHSA-fqh9-2qgg-h84h,Medium,,,False,,,['reports.py'],1.0,3.0,4,6,5.0,3.0,45.0,Medium
