package_name,cve_id,severity,reachability_score,exploitability_score,criticality_score,final_risk_score,risk_category,fixed_version
requests,GHSA-652x-xj99-gmcc,Medium,6,3.0,10,56.0,Medium,
requests,GHSA-9wx4-h78v-vm56,Medium,6,3.0,10,56.0,Medium,
requests,GHSA-9hjg-9r4m-mvj7,Medium,6,3.0,10,56.0,Medium,
requests,PYSEC-2018-28,Medium,6,3.0,10,56.0,Medium,
requests,PYSEC-2015-17,Medium,6,3.0,10,56.0,Medium,
requests,PYSEC-2014-14,Medium,6,3.0,10,56.0,Medium,
requests,PYSEC-2014-13,Medium,6,3.0,10,56.0,Medium,
requests,GHSA-x84v-xcm2-53pg,Medium,6,3.0,10,56.0,Medium,
requests,GHSA-pg2w-x9wp-vw92,Medium,6,3.0,10,56.0,Medium,
requests,GHSA-j8r2-6x86-q33q,Medium,6,3.0,10,56.0,Medium,
